id,vin,licencePlate,brand,model,kmReading,productionYear,enginePower,status,fuelType,color
1,1B3YA6425JG420479,ZE0645,Audi,A1,10000,2010,200,Used,Super95,Red
2,1B3YA64WT8G420479,ZE8645,Porsche,GT,56894,2010,200,Used,Super95,Blue
3,1A6YA64878G890479,ZESG85,Audi,A4,69435,2010,100,New,Super95,Green
4,1B3YA64WT8G420412,ZE1445,Audi,A1,12438,2010,200,Used,Super95,Blue
5,1B3YA64WT8G429779,S0945,VW,Golf,45838,2010,200,Used,Super95,Blue
6,1C3YA64WT8G650479,SL6065,Audi,A1,45315,2010,200,New,Super95,Red
7,1D3YA64WT74420479,S9765,Audi,A1,38458,2010,200,Used,Super95,Blue
8,1E3YA64318G420479,S9735,Porsche,911,38468,2010,200,Used,Super95,Red
9,1F3YA64658G420479,S3165,Audi,A1,42568,2010,200,New,Super95,Blue
10,1G3YB654T8G420479,S9736,Audi,A1,75318,2010,155,Used,Super95,Red
